[2026-04-01 19:31:59] [INFO    ] discord.client: logging in using static token
[2026-04-01 19:32:00] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2026-04-01 19:32:00] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2026-04-01 19:32:00] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1488192451566113019', 'username': 'EVIL-SWASTIK', 'avatar': 'b0d939695f377e3dfe27cdf150a06b57', 'discriminator': '4111', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': '30e00b5fa26539b7ad02e92cc14031b8', 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2026-04-01 19:32:00] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2026-04-01 19:32:00] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2026-04-01 19:32:00] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1488192451566113019', 'name': 'EVIL-SWASTIK', 'icon': 'b0d939695f377e3dfe27cdf150a06b57', 'description': '', 'type': None, 'bot': {'id': '1488192451566113019', 'username': 'EVIL-SWASTIK', 'avatar': 'b0d939695f377e3dfe27cdf150a06b57', 'discriminator': '4111', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': '30e00b5fa26539b7ad02e92cc14031b8', 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '8a2ed9c2bc58c354f35d0f4c1692bfbc722aaf9b0fa5fab0eb6afe817967aca0', 'flags': 565248, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '1399051133053304909', 'username': 'swastik_work_41544', 'avatar': '68bd77d2d4732b6accba4045f6ebb284', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': 2829354, 'global_name': '-Swastik-', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': '#2b2c2a', 'clan': None, 'primary_guild': None}, 'approximate_guild_count': 0, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 224, 'monetization_state': 1, 'verification_eligibility_flags': 91036, 'monetization_eligibility_flags': 181988, 'bot_approximate_guild_count': 1, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2026-04-01 19:32:01] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2026-04-01 19:32:01] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-b-w3r3",{"micros":0.0}]']}}
[2026-04-01 19:32:01] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2026-04-01 19:32:01] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-04-01 19:32:02] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'EVIL-SWASTIK', 'primary_guild': None, 'mfa_enabled': False, 'id': '1488192451566113019', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '4111', 'clan': None, 'bot': True, 'avatar': 'b0d939695f377e3dfe27cdf150a06b57'}, 'session_type': 'normal', 'session_id': 'ad239805ca21ac7a12504af9bdc7ddf5', 'resume_gateway_url': 'wss://gateway-us-east1-b.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1488198810491555944'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['india', 'dubai', 'hongkong', 'saudi-arabia', 'tel-aviv'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1488192451566113019', 'flags_new': '565248', 'flags': 565248}, '_trace': ['["gateway-prd-arm-us-east1-b-w3r3",{"micros":317113,"calls":["id_created",{"micros":910,"calls":[]},"session_lookup_time",{"micros":8751,"calls":[]},"session_lookup_finished",{"micros":10,"calls":[]},"sessions-prd-gcp-us-east1-b-39",{"micros":306847,"calls":["start_session",{"micros":266017,"calls":["prd-rpc-789f84654d-5vnwv",{"micros":171792,"calls":["get_user",{"micros":20255},"get_guilds",{"micros":6285},"send_scheduled_deletion_message",{"micros":12},"guild_join_requests",{"micros":3},"authorized_ip_coro",{"micros":25},"pending_payments",{"micros":1650},"apex_experiments",{"micros":81786},"sessions_experiments",{"micros":6},"played_application_ids",{"micros":5},"linked_users",{"micros":4},"ad_personalization_toggles_disabled",{"micros":4},"regional_feature_config",{"micros":3}]}]},"starting_guild_connect",{"micros":34,"calls":[]},"presence_started",{"micros":40285,"calls":[]},"guilds_started",{"micros":91,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":2,"calls":[]},"presence_connect",{"micros":373,"calls":[]},"connect_finished",{"micros":400,"calls":[]},"build_ready",{"micros":15,"calls":[]},"clean_ready",{"micros":2,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":1,"calls":[]}]}]}]']}}
[2026-04-01 19:32:02] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-04-01 19:32:02] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: ad239805ca21ac7a12504af9bdc7ddf5).
[2026-04-01 19:32:02] [DEBUG   ] discord.client: Dispatching event connect
